GEO,REF_DATE,National Occupational Classification (NOC),VALUE
Alberta,2019-02,Professional occupations in applied sciences (except engineering),89.5
Alberta,2019-02,Professional occupations in art and culture,27.5
Alberta,2019-02,Professional occupations in business,77.2
Alberta,2019-02,Professional occupations in education services,161.1
Alberta,2019-02,Professional occupations in engineering,72.2
Alberta,2019-02,Professional occupations in finance,85.8
Alberta,2019-02,Professional occupations in finance and business,168.3
Alberta,2019-02,Professional occupations in government services,38.2
Alberta,2019-02,Professional occupations in health,149.5
Alberta,2019-02,Professional occupations in law,25.5
Alberta,2019-02,"Professional occupations in law, education, social, community and government services",279.8
Alberta,2019-02,Professional occupations in natural and applied sciences,186.7
Alberta,2019-02,Professional occupations in natural sciences,18.3
Alberta,2019-02,Professional occupations in social and community services,48.7
Alberta,2019-02,Retail sales and service supervisors and specialized occupations in sales and services,184.0
Alberta,2019-02,"Sales and service occupations, except management",1075.3
Alberta,2019-02,Sales and service representatives and other customer and personal services occupations,334.2
Alberta,2019-02,Sales and service support occupations,391.1
Alberta,2019-02,Specialized middle management occupations,102.3
Alberta,2019-02,"Supervisors and occupations in natural resources, agriculture and related production",104.8
Alberta,2019-02,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors",70.19999999999999
Alberta,2019-02,"Support occupations in art, culture and sport",29.7
Alberta,2019-02,"Technical occupations in art, culture and sport",21.200000000000003
Alberta,2019-02,Technical occupations in health,83.0
Alberta,2019-02,Technical occupations related to natural and applied sciences,169.5
Alberta,2019-02,Technical trades and transportation officers and controllers,434.8
Alberta,2019-02,Therapy and assessment professionals,19.9
Alberta,2019-02,"Trades, transport and equipment operators and related occupations, except management",800.0
Alberta,2019-02,"Workers and labourers in natural resources, agriculture and related production",46.1
Alberta,2019-03,Administrative and financial supervisors and specialized administrative occupations,161.0
Alberta,2019-03,Administrative and financial support and supply chain logistics occupations,197.79999999999998
Alberta,2019-03,Administrative occupations and transportation logistics occupations,144.6
Alberta,2019-03,Assisting occupations in education and in legal and public protection,59.5
Alberta,2019-03,Assisting occupations in support of health services,101.9
Alberta,2019-03,"Business, finance and administration occupations, except management",681.2
Alberta,2019-03,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations",27.0
Alberta,2019-03,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",108.10000000000001
Alberta,2019-03,General trades,218.5
Alberta,2019-03,"Health occupations, except management",334.3
Alberta,2019-03,Health treating and consultation services professionals,40.4
Alberta,2019-03,"Helpers and labourers and other transport drivers, operators and labourers",107.9
Alberta,2019-03,"Labourers in processing, manufacturing and utilities",25.200000000000003
Alberta,2019-03,Legislative and senior management occupations,17.6
Alberta,2019-03,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",60.099999999999994
Alberta,2019-03,"Mail and message distribution, other transport equipment operators and related maintenance workers",29.700000000000003
Alberta,2019-03,Management occupations,383.7
Alberta,2019-03,Middle management occupations in retail and wholesale trade and customer services,95.2
Alberta,2019-03,"Middle management occupations in trades, transportation, production and utilities",166.5
Alberta,2019-03,"Natural and applied sciences and related occupations, except management",351.9
Alberta,2019-03,"Natural resources, agriculture and related production occupations, except management",146.6
Alberta,2019-03,Nursing and allied health professionals,81.3
Alberta,2019-03,"Occupations in art, culture and sport",18.4
Alberta,2019-03,"Occupations in art, culture, recreation and sport, except management",95.1
Alberta,2019-03,"Occupations in education, law and social, community and government services, except management",472.4
Alberta,2019-03,Occupations in front-line public protection services,29.0
Alberta,2019-03,"Occupations in manufacturing and utilities, except management",161.6
Alberta,2019-03,Occupations in sales and services,175.3
Alberta,2019-03,"Paraprofessional occupations in legal, social, community and education services",75.80000000000001
Alberta,2019-03,Professional occupations in applied sciences (except engineering),89.3
Alberta,2019-03,Professional occupations in art and culture,24.4
Alberta,2019-03,Professional occupations in business,78.4
Alberta,2019-03,Professional occupations in education services,156.5
Alberta,2019-03,Professional occupations in engineering,70.8
Alberta,2019-03,Professional occupations in finance,94.9
Alberta,2019-03,Professional occupations in finance and business,176.9
Alberta,2019-03,Professional occupations in government services,39.7
Alberta,2019-03,Professional occupations in health,149.2
Alberta,2019-03,Professional occupations in law,23.2
Alberta,2019-03,"Professional occupations in law, education, social, community and government services",272.7
Alberta,2019-03,Professional occupations in natural and applied sciences,185.3
Alberta,2019-03,Professional occupations in natural sciences,20.799999999999997
Alberta,2019-03,Professional occupations in social and community services,45.6
Alberta,2019-03,Retail sales and service supervisors and specialized occupations in sales and services,181.70000000000002
Alberta,2019-03,"Sales and service occupations, except management",1095.9
Alberta,2019-03,Sales and service representatives and other customer and personal services occupations,338.3
Alberta,2019-03,Sales and service support occupations,400.5
Alberta,2019-03,Specialized middle management occupations,100.1
Alberta,2019-03,"Supervisors and occupations in natural resources, agriculture and related production",100.1
Alberta,2019-03,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors",74.7
Alberta,2019-03,"Support occupations in art, culture and sport",29.5
Alberta,2019-03,"Technical occupations in art, culture and sport",20.4
Alberta,2019-03,Technical occupations in health,78.9
Alberta,2019-03,Technical occupations related to natural and applied sciences,164.5
Alberta,2019-03,Technical trades and transportation officers and controllers,431.3
Alberta,2019-03,Therapy and assessment professionals,20.0
Alberta,2019-03,"Trades, transport and equipment operators and related occupations, except management",790.0
Alberta,2019-03,"Workers and labourers in natural resources, agriculture and related production",44.2
Alberta,2019-04,Administrative and financial supervisors and specialized administrative occupations,159.6
Alberta,2019-04,Administrative and financial support and supply chain logistics occupations,209.70000000000002
Alberta,2019-04,Administrative occupations and transportation logistics occupations,154.0
Alberta,2019-04,Assisting occupations in education and in legal and public protection,58.8
Alberta,2019-04,Assisting occupations in support of health services,103.2
Alberta,2019-04,"Business, finance and administration occupations, except management",702.0
Alberta,2019-04,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations",26.5
Alberta,2019-04,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",106.3
Alberta,2019-04,General trades,222.4
Alberta,2019-04,"Health occupations, except management",330.5
Alberta,2019-04,Health treating and consultation services professionals,37.8
Alberta,2019-04,"Helpers and labourers and other transport drivers, operators and labourers",111.2
Alberta,2019-04,"Labourers in processing, manufacturing and utilities",24.8
Alberta,2019-04,Legislative and senior management occupations,18.4
Alberta,2019-04,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",62.7
Alberta,2019-04,"Mail and message distribution, other transport equipment operators and related maintenance workers",29.7
Alberta,2019-04,Management occupations,380.2
Alberta,2019-04,Middle management occupations in retail and wholesale trade and customer services,95.5
Alberta,2019-04,"Middle management occupations in trades, transportation, production and utilities",166.7
Alberta,2019-04,"Natural and applied sciences and related occupations, except management",352.4
Alberta,2019-04,"Natural resources, agriculture and related production occupations, except management",144.9
Alberta,2019-04,Nursing and allied health professionals,83.9
Alberta,2019-04,"Occupations in art, culture and sport",17.9
Alberta,2019-04,"Occupations in art, culture, recreation and sport, except management",91.1
Alberta,2019-04,"Occupations in education, law and social, community and government services, except management",464.8
Alberta,2019-04,Occupations in front-line public protection services,30.6
Alberta,2019-04,"Occupations in manufacturing and utilities, except management",165.4
Alberta,2019-04,Occupations in sales and services,180.7
Alberta,2019-04,"Paraprofessional occupations in legal, social, community and education services",73.6
Alberta,2019-04,Professional occupations in applied sciences (except engineering),88.0
Alberta,2019-04,Professional occupations in art and culture,21.1
Alberta,2019-04,Professional occupations in business,76.3
Alberta,2019-04,Professional occupations in education services,154.4
Alberta,2019-04,Professional occupations in engineering,69.3
Alberta,2019-04,Professional occupations in finance,96.89999999999999
Alberta,2019-04,Professional occupations in finance and business,176.2
Alberta,2019-04,Professional occupations in government services,36.6
Alberta,2019-04,Professional occupations in health,149.5
Alberta,2019-04,Professional occupations in law,21.2
Alberta,2019-04,"Professional occupations in law, education, social, community and government services",266.7
Alberta,2019-04,Professional occupations in natural and applied sciences,186.2
Alberta,2019-04,Professional occupations in natural sciences,24.0
Alberta,2019-04,Professional occupations in social and community services,47.9
Alberta,2019-04,Retail sales and service supervisors and specialized occupations in sales and services,176.4
Alberta,2019-04,"Sales and service occupations, except management",1105.9
Alberta,2019-04,Sales and service representatives and other customer and personal services occupations,337.8
Alberta,2019-04,Sales and service support occupations,410.90000000000003
Alberta,2019-04,Specialized middle management occupations,94.9
Alberta,2019-04,"Supervisors and occupations in natural resources, agriculture and related production",93.0
Alberta,2019-04,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors",74.6
Alberta,2019-04,"Support occupations in art, culture and sport",30.8
Alberta,2019-04,"Technical occupations in art, culture and sport",19.5
Alberta,2019-04,Technical occupations in health,73.7
Alberta,2019-04,Technical occupations related to natural and applied sciences,163.9
Alberta,2019-04,Technical trades and transportation officers and controllers,436.2
Alberta,2019-04,Therapy and assessment professionals,20.599999999999998
Alberta,2019-04,"Trades, transport and equipment operators and related occupations, except management",803.4
Alberta,2019-04,"Workers and labourers in natural resources, agriculture and related production",50.8
Alberta,2019-05,Administrative and financial supervisors and specialized administrative occupations,161.0
Alberta,2019-05,Administrative and financial support and supply chain logistics occupations,213.7
Alberta,2019-05,Administrative occupations and transportation logistics occupations,163.1
Alberta,2019-05,Assisting occupations in education and in legal and public protection,58.3
Alberta,2019-05,Assisting occupations in support of health services,96.4
Alberta,2019-05,"Business, finance and administration occupations, except management",718.9
Alberta,2019-05,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations",25.3
Alberta,2019-05,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",108.2
Alberta,2019-05,General trades,219.2
Alberta,2019-05,"Health occupations, except management",329.3
Alberta,2019-05,Health treating and consultation services professionals,38.3
Alberta,2019-05,"Helpers and labourers and other transport drivers, operators and labourers",122.6
Alberta,2019-05,"Labourers in processing, manufacturing and utilities",22.0
Alberta,2019-05,Legislative and senior management occupations,19.2
Alberta,2019-05,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",68.0
Alberta,2019-05,"Mail and message distribution, other transport equipment operators and related maintenance workers",31.200000000000003
Alberta,2019-05,Management occupations,382.2
Alberta,2019-05,Middle management occupations in retail and wholesale trade and customer services,102.7
Alberta,2019-05,"Middle management occupations in trades, transportation, production and utilities",162.9
Alberta,2019-05,"Natural and applied sciences and related occupations, except management",348.6
Alberta,2019-05,"Natural resources, agriculture and related production occupations, except management",151.0
Alberta,2019-05,Nursing and allied health professionals,86.6
Alberta,2019-05,"Occupations in art, culture and sport",21.0
Alberta,2019-05,"Occupations in art, culture, recreation and sport, except management",93.19999999999999
Alberta,2019-05,"Occupations in education, law and social, community and government services, except management",464.5
Alberta,2019-05,Occupations in front-line public protection services,31.0
Alberta,2019-05,"Occupations in manufacturing and utilities, except management",170.0
Alberta,2019-05,Occupations in sales and services,177.8
Alberta,2019-05,"Paraprofessional occupations in legal, social, community and education services",75.0
Alberta,2019-05,Professional occupations in applied sciences (except engineering),85.4
Alberta,2019-05,Professional occupations in art and culture,19.5
Alberta,2019-05,Professional occupations in business,78.9
Alberta,2019-05,Professional occupations in education services,154.5
Alberta,2019-05,Professional occupations in engineering,70.0
Alberta,2019-05,Professional occupations in finance,97.0
Alberta,2019-05,Professional occupations in finance and business,180.1
Alberta,2019-05,Professional occupations in government services,35.4
Alberta,2019-05,Professional occupations in health,154.0
Alberta,2019-05,Professional occupations in law,21.4
Alberta,2019-05,"Professional occupations in law, education, social, community and government services",264.9
Alberta,2019-05,Professional occupations in natural and applied sciences,190.9
Alberta,2019-05,Professional occupations in natural sciences,26.8
Alberta,2019-05,Professional occupations in social and community services,47.9
Alberta,2019-05,Retail sales and service supervisors and specialized occupations in sales and services,174.1
Alberta,2019-05,"Sales and service occupations, except management",1106.9
Alberta,2019-05,Sales and service representatives and other customer and personal services occupations,331.7
Alberta,2019-05,Sales and service support occupations,423.4
Alberta,2019-05,Specialized middle management occupations,93.1
Alberta,2019-05,"Supervisors and occupations in natural resources, agriculture and related production",86.1
Alberta,2019-05,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors",75.5
Alberta,2019-05,"Support occupations in art, culture and sport",31.7
Alberta,2019-05,"Technical occupations in art, culture and sport",20.1
Alberta,2019-05,Technical occupations in health,73.8
Alberta,2019-05,Technical occupations related to natural and applied sciences,156.4
Alberta,2019-05,Technical trades and transportation officers and controllers,445.3
Alberta,2019-05,Therapy and assessment professionals,23.2
Alberta,2019-05,"Trades, transport and equipment operators and related occupations, except management",822.5
Alberta,2019-05,"Workers and labourers in natural resources, agriculture and related production",63.6
Alberta,2019-06,Administrative and financial supervisors and specialized administrative occupations,160.29999999999998
Alberta,2019-06,Administrative and financial support and supply chain logistics occupations,219.0
Alberta,2019-06,Administrative occupations and transportation logistics occupations,179.3
Alberta,2019-06,Assisting occupations in education and in legal and public protection,58.7
Alberta,2019-06,Assisting occupations in support of health services,89.8
Alberta,2019-06,"Business, finance and administration occupations, except management",746.6
Alberta,2019-06,"Care providers and public protection support occupations and student monitors, crossing guards and related occupations",24.6
Alberta,2019-06,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",108.1
Alberta,2019-06,General trades,223.1
Alberta,2019-06,"Health occupations, except management",333.5
Alberta,2019-06,Health treating and consultation services professionals,37.9
